bulu :  fura
sérieusement :  au sérieux; grandement; horriblement; profondément; soigneusement; tout de bon; vraiment
astucieusement :  finement
anal :  rektal; anal sex; alan
volop :  baie; oorvloedig; ryk; overvloedig; uitvoerig
port payé :  franc de port; franco de port
juicio :  inteligencia; cordura; entendimiento; tino; sentencia; resolución; querella; litigio; proceso; pleito; sumario; causa; caso; seso; razón; razonamiento; dictamen; opinión; veredicto; parecer; prudencia; discernimiento; madurez; sensatez
ayudar :  auxiliar; socorrer
dringueille :  dringuelle
pus :  més; etter; mai
intelligemment :  habilement
biocarburant :  agrocarburant
phrase :  locution
фанатик :  фундаменталист
Бруней :  Дзяржава Бруней-Дарусалам; Султанство Бруней; Бруней Даруссалам; Бруней Даруссалам мемлекеті; Бруней-Даруссалам султанув; Негара Бруней Даруссалам; Бруней Даруссалам; Султанат Бруней-Даруссалам; Королевство Бруней; Бруней-Даруссалам; Бруней-Даруссалам; Бруней Даруссалам султаначĕ; Ісламський Султанат Бруней; Держава Бруней Даруссалам
hiéroglyphe :  graphoglypte; ichnofossile
antimonié :  antimonifère
bonnet blanc, blanc bonnet :  kif-kif; kif-kif bourricot; du pareil au même; chou vert et vert chou; piron-pareil; quatre trente sous pour une piastre
病 :  病気
aphasie :  alalie; dysphasie; alogie
aimer à :  aimer de
portier :  chasse-chien; autodeur; conciërge; deur; kaak; onderste maagopening
grès pif :  grisard
natuurlijk :  biologisch; realistisch; echt; juist; natuurgetrouw; realistisch; waar; allicht; uiteraard
xenophobe :  bigot; racist
décantation :  décantage
zwitterion :  amphion
十一月 :  霜月
Катар :  Дзяржава Катар; Дзяржава Катар; Катар Илэ; Катар канму; Држава Катар; Qatar; Катары Паддзахад; Држава Катар
grec :  hellène; hellénique; langue d’Homère; koinè; gyros; kebab
organe :  partie; composant; élément
aussi :  autant; de même; en plus; également; pareillement; ainsi
kiezen :  uitkiezen; stemmen
zythum :  boisson pélusienne; vin d’orge
añadir :  adicionar; sumar; agregar; incorporar; adicionar; aumentar; acrecentar; ampliar
arka :  herkkä
honnêtement :  bien; convenablement; correctement; dignement; honorablement; moyennement; passablement; proprement; suffisamment; valablement
de secours :  de spare
Fahrzeug :  Vehikel
journellement :  quotidiennement
lamper :  ingurgiter; boire
France :  Frànce; Guernesey; Fraunce; Cotentin; Frankreich
passivement :  aveuglément
olandese :  neerlandese; neerlandese
३ :  तीन
jawel :  jazeker; zeker
Abonnement :  Bezug; Dauerbezug; Lesezirkel; Buchklub
hydrophile :  polaire
monnaie :  argent; sou; devise
liver :  penter
richten :  uitlijnen; aanpassen; besturen; dirigeren; mennen; sturen; adresseren; sturen; toesturen; zenden
guide :  accompagnateur
cagne :  cagnard; fainéant; paresseux
abajadero :  cuesta; rampa; pendiente; repecho; subida; desnivel; escarpa; talud; ladera
cagna :  cahute; masure; gourbi
insolente :  chulo; descarado; desvergonzado; impertinente; sinvergüenza
bleu céleste :  bleu cæruleum; bleu céruléen
юность :  молодость
jouet :  joujou
rationnellement :  logiquement; raisonnablement
架 :  吵
benzine :  benzène; benzene; cyclohexatriene; cyclohexa-1,3,5-triene; UICPA; 1,3,5-cyclohexatriene; phene; phenyl hydride
tocar :  afectar; concernir; interpretar; jugar; representar; tenir joc
bewijzen :  aantonen; hardmaken
régulièrement :  assidûment; exactement; habituellement; ponctuellement
silence :  calme
essaim :  multitude; nuée; quantité; troupeau
maudit :  damné; réprouvé; déchu; excommunié; interdit
aguichage :  séduction
joyeux Noël et bonne année :  joyeuses fêtes
commerçant :  commercial; marchand; négociant
chimère :  utopie
TU :  Temps universel coordonné; UTC
lémuriens :  lémuriformes
bribe :  bout; fragment; lambeau; partie; relief
utiliser :  employer; exploiter; servir; user
apparemment :  manifestement; au premier abord
外 :  他所; 余所; 他
母 :  母親; お母さん
afficher :  placarder
notwithstanding :  despite; in spite of; maugre; all the same; nevertheless; nonetheless
milliard :  giga-; énormément; billion; yard
patente :  gogosse; diploma; evidente; inequívoco; manifesto; óbvio
mort de rire :  écroulé de rire; mdr; pété de rire
Bach :  Flüßchen
modérateur :  modo
ligron :  ligre
zéro :  aucun; nul; racine; néant; rien; bon à rien; fainéant; incompétent; nullité
oktober :  liljemåned; sædemåned; september; november; slaktmånad
gaule :  baguette; bâton; canne; cravache; échalas; houssine; perche; tuteur
about :  adjonction; ajoutage; around
behoefte :  gemis; gebrek; tekort
commerce en ligne :  commerce électronique
extérieur :  dehors
fare :  aspak; krejt
fara :  fade; åka; färdas; våda
boche :  Alboche; alboche; Casque à boulons; casque à boulons; Chleuh; chleuh; Doryphore; doryphore; Fridolin; fridolin; Frisé; frisé; Fritz; fritz; Teuton; teuton; Vert-de-gris; vert-de-gris; casque à pointe
abimé :  endommagé; usé
anticonstitutionnellement :  inconstitutionnellement
corticostéroïde :  corticoïde
avocat :  bavard; débarbot
